model,version,description,strategy,count,bertscore_mean,bertscore_std,bleu_mean,bleu_std,sari_mean,sari_std,perplexity_mean,perplexity_std,fkgl_delta_mean,fkgl_delta_std,fre_delta_mean,fre_delta_std,fkgl_output_mean,fre_output_mean
gemini-2.0-flash,v3,step 2 - RAG top k=3 with upgrated prompt,constraint,40,0.8847462490201,0.0118482792273773,0.123672691999764,0.0355328406703948,42.0621711545723,3.733005168019,26.6319291591644,5.94902013538409,-8.09847263738945,1.80683886370215,32.6477374009512,7.80158994321848,3.45378749170734,85.2865904188271
gemini-2.0-flash,v3,step 2 - RAG top k=3 with upgrated prompt,structured,40,0.886642096936703,0.0136295995448615,0.131450000537727,0.0457963225492635,42.5687629094681,4.26086780305769,23.4348793029785,4.98567468541054,-7.42980019412046,1.73610250460587,29.1424353586814,7.65025661349311,4.12245993497633,81.7812883765574
gemini-2.0-flash,v3,step 2 - RAG top k=3 with upgrated prompt,zeroshot,40,0.881947132945061,0.0122940676787748,0.0944767233454412,0.0326728851866038,40.9273991540579,3.61140724040076,21.2341283082962,5.88113242594518,-8.09405026057557,1.66914213889045,32.062850493263,7.4679151300953,3.45820986852121,84.7017035111389
gpt-4o-mini,v3,step 2 - RAG top k=3 with upgrated prompt,constraint,40,0.892079703509808,0.01768264511142,0.157813371279111,0.0738308559682797,43.2475340022736,4.5469707316009,26.6697216510773,4.916912303779,-4.41874529019496,1.37162893146776,16.4063295419496,5.91390741639303,7.13351483890182,69.0451825598255
gpt-4o-mini,v3,step 2 - RAG top k=3 with upgrated prompt,structured,40,0.874363331496716,0.0159920022340564,0.0819628907933073,0.0429090371412894,38.7505978756815,4.20595130003774,26.1242065429688,4.57508191805627,-4.33620649080392,1.38468130970216,15.3286716416376,5.82757535605394,7.21605363829286,67.9675246595135
gpt-4o-mini,v3,step 2 - RAG top k=3 with upgrated prompt,zeroshot,40,0.881358651816845,0.0170193610571367,0.108423024526987,0.0572334844412448,40.7254321079686,4.83998968997661,26.560794711113,5.45321817588778,-4.84963236419804,1.43281808267309,17.5439879038723,5.86295389538779,6.70262776489874,70.1828409217482
llama3.2,v3,step 2 - RAG top k=3 with upgrated prompt,constraint,40,0.793840196728706,0.0107560242577526,0.00282312138866718,0.00220734940710954,28.5270875377328,3.07179715994706,23.5094536781311,9.72731491695685,2.38071042980284,5.73877779716051,-15.9316289818241,20.1997302104571,13.9329705588996,36.7072240360519
llama3.2,v3,step 2 - RAG top k=3 with upgrated prompt,structured,40,0.795241411030293,0.00885382038190509,0.00299702443365288,0.00194239800470554,28.6894215926107,2.87589229937816,23.1955215930939,10.9381786488689,1.06679613104129,3.17862468850371,-12.2822368963451,17.5073352370393,12.6190562601381,40.3566161215308
llama3.2,v3,step 2 - RAG top k=3 with upgrated prompt,zeroshot,40,0.795078986883163,0.00964467919176245,0.00320813940652872,0.0018419434163057,28.7346313271809,2.97409020659438,23.6172737121582,6.66462331256431,1.07000137799986,3.02027371021253,-11.8115063311393,16.9429856240009,12.6222615070966,40.8273466867367
sonar,v3,step 2 - RAG top k=3 with upgrated prompt,constraint,40,0.891077058017254,0.0178281530131437,0.171440738927141,0.0806747671449277,42.5778451091636,4.34535743725022,39.8913326740265,10.9089897377003,-6.88844158033104,1.9285964791951,23.8770690157274,8.02563674252024,4.66381854876574,76.5159220336034
sonar,v3,step 2 - RAG top k=3 with upgrated prompt,structured,40,0.882566145062447,0.0226202611613872,0.120779177622092,0.0588459200345348,41.006421831087,5.01966835182345,38.3211240768433,11.8525955436892,-7.04369974881677,2.67235587149208,25.4149237834902,12.1825544660184,4.50856038028001,78.0537768013662
sonar,v3,step 2 - RAG top k=3 with upgrated prompt,zeroshot,40,0.885784880816937,0.0213379558482052,0.146860999619567,0.0843409093386202,41.1745193677876,4.87252126604914,39.4750189304352,11.8433328909203,-6.67089513880835,1.99253297385065,24.2220652125616,8.41913048504999,4.88136499028844,76.8609182304375
