model,strategy,item_id,result_id,bertscore,bleu,sari,perplexity,fkgl_delta,fre_delta,fkgl_input,fkgl_output,fre_input,fre_output
gemini-2.0-flash,constraint,46869d9e-016c-46ef-944a-ac2b8255c627,1678047d-2977-4295-a871-457be3ac403b,0.873229622840881,0.0937240894448627,38.9358445942696,15.5728149414062,-7.77916340658546,30.5353507590395,9.95692553931802,2.17776213273256,61.5942099280909,92.1295606871304
gpt-4o-mini,constraint,980974d6-79dc-49f9-bb69-7be26d62db4d,2beadca2-3abf-4669-8827-6635be262dd7,0.90841418504715,0.2416495498176,49.2114521818762,24.0716953277588,-6.31201404170733,24.8492144155513,14.8657386363636,8.55372459465632,36.7095935314686,61.5588079470199
gemini-2.0-flash,structured,eb4e34fd-df73-4aca-9398-10c22ded5414,1b39e74b-141a-4def-a022-888a29586480,0.852260708808899,0.0393790058286584,34.5132678397513,17.7457752227783,-10.0344856138893,45.3744239692166,13.8709082473031,3.83642263341379,40.4797755480803,85.8541995172969
gemini-2.0-flash,zeroshot,046eac31-87a0-45b5-9646-5ac85264f32d,35a598a2-d0e2-4b35-ba5b-f770a56e7686,0.846190631389618,0.0122878321842936,34.8549177673574,20.1980571746826,-6.41615107754814,27.5216106915739,12.611722972973,6.19557189542484,45.8309628378379,73.3525735294118
gemini-2.0-flash,structured,48f9dc5a-3d66-4214-9feb-d018ced759e4,7c68c2d4-8993-4351-9185-d7aa2dd4f736,0.855200171470642,0.0345772902092075,36.4952938855222,20.3650016784668,-5.64198672911788,25.2259972677595,11.9550819672131,6.31309523809524,45.5665027322405,70.7925
gpt-4o-mini,constraint,98ef0db1-7547-4b67-be3d-f9d8cb0b0d13,0db055d0-6d4b-4736-af23-08e72bd53701,0.881094217300415,0.0676869840728115,32.9988053184542,29.9238166809082,-3.29811480998111,8.29055065871917,9.60153846153846,6.30342365155736,60.9559615384616,69.2465121971807
gpt-4o-mini,constraint,48f9dc5a-3d66-4214-9feb-d018ced759e4,e0192983-b384-414d-883b-d0f7b76e5763,0.899453818798065,0.192794927335573,47.60194188696,26.2963447570801,-5.87823672911788,24.9266520296643,11.9550819672131,6.07684523809524,45.5665027322405,70.4931547619048
gpt-4o-mini,constraint,eaa6dad7-58a5-417f-80ef-c7ed93ad4c3f,c302b3f2-70e8-49d2-9f41-3c9687ed3df8,0.904091536998749,0.105385043170438,43.385194652224,28.4930896759033,-4.55200230615944,14.6051139302078,11.8300420168067,7.27803971064728,50.6188795518208,65.2239934820285
gpt-4o-mini,constraint,bb974d41-cebc-4517-b191-9e5e655082ed,d5520f4d-b15b-4ef9-abfc-6fd39e59fb9d,0.867434620857239,0.0998702784684128,38.0123438693471,32.5129470825195,-8.36507021262593,30.191328757548,13.3709300693165,5.00585985669056,47.4738549618321,77.6651837193801
gemini-2.0-flash,zeroshot,7894abc5-bef9-4465-b5e0-d436c286d3d8,18ecfd13-b2ec-44f7-a9b4-a0549a100185,0.821861326694489,0.0195284058552542,31.4937009853489,18.959056854248,-6.96499778775256,33.9815845443545,9.70420831406835,2.73921052631579,56.4410470345929,90.4226315789474
gpt-4o-mini,structured,fcb403f4-fb1f-43b2-9ea3-ea305df150a9,9c3389ec-7cd1-45f7-bf85-84e65c6d6a12,0.882491528987885,0.0388398670295622,37.4934925300459,27.2510261535645,-3.42805412206817,8.625943011567,10.7974631495228,7.36940902745463,59.6397790296925,68.2657220412595
llama3.2,constraint,8a8f3f1b-3bb1-489e-a6ea-6de56b447582,e662ecd1-c46e-47d1-87fe-8d510253e3f7,0.843810200691223,0.0227264133337824,32.3882708408603,28.004207611084,-5.49909427817547,25.1087953184046,10.9679537087805,5.46885943060499,55.7693692723428,80.8781645907473
llama3.2,zeroshot,a4bfb6c9-aedb-49b4-b108-cd531f75fcc1,03f013f8-7547-498e-8c7c-26808072f92a,0.853746950626373,0.0983236930174015,33.7553390662091,18.8006782531738,-6.5012498107924,24.1014118877194,13.5241436464088,7.02289383561644,47.6982256693583,71.7996375570777
llama3.2,constraint,851bf72f-5b5f-44fe-ace0-0810ec4b40da,d5d7afb6-c8b2-4137-8de0-298a3921df5f,0.844104945659637,0.0478135712654936,36.7476147102112,19.263463973999,-3.41699717932325,13.5821378408696,11.4038664802351,7.98686930091185,52.1226240638923,65.7047619047619
llama3.2,structured,851bf72f-5b5f-44fe-ace0-0810ec4b40da,b7942233-96dc-4629-8f69-dee1847d28d6,0.816024839878082,0.00896467437008463,33.5040121569112,17.668004989624,-3.27946808451317,12.4476990198867,11.4038664802351,8.12439839572193,52.1226240638923,64.570323083779
sonar-pro,zeroshot,12d0e40d-427e-4141-b6d0-35c73bc81a06,f6085f67-27be-489f-8525-8301e2c20854,0.824318766593933,0.0245705379807835,32.1128702758879,26.1273174285889,-1.49258130622584,1.40891115910492,8.71158130622585,7.219,65.2295888408951,66.6385
