model,version,count,bertscore_mean,bertscore_std,bertscore_min,bertscore_max,bleu_mean,bleu_std,bleu_min,bleu_max,sari_mean,sari_std,sari_min,sari_max,perplexity_mean,perplexity_std,perplexity_min,perplexity_max,fkgl_delta_mean,fkgl_delta_std,fkgl_delta_min,fkgl_delta_max,fre_delta_mean,fre_delta_std,fre_delta_min,fre_delta_max,fkgl_output_mean,fre_output_mean
gemini-2.0-flash,v1,120,0.852968122065067,0.0160289375880526,0.803920924663544,0.893248498439789,0.0359641147812516,0.0300004733372512,0.00151063405993404,0.139820542239401,34.7032612636867,4.203649702019,24.060098320873,44.4599792741281,23.1435043176015,6.00774860938459,11.4426774978638,39.2837867736816,-7.69339125039676,2.21712876531625,-13.2499681747776,-1.35870498288322,31.7344971594192,9.96018910387701,3.79234419931535,56.359918401363,3.85886887870002,84.3733501772951
gemini-2.0-flash,v2,120,0.87148641894261,0.0114725013603797,0.849984109401703,0.901007175445557,0.0773772303357274,0.0349913385814706,0.0108560494353025,0.192137891769323,39.1043053372484,3.91422849352157,29.9888491485474,46.5934814493374,26.1177840868632,7.09984177348252,13.3560724258423,49.9100799560547,-8.27247561304259,1.84814838535783,-13.5575501397022,-3.23412885725447,32.8673178431207,8.43292044227398,10.7383349766539,57.8224906807702,3.2797845160542,85.5061708609967
gpt-4o-mini,v1,120,0.876495540142059,0.0172628265467923,0.834789633750916,0.920572340488434,0.0949713268058991,0.0661670810139236,0.01230079957861,0.363970609509556,39.5156361908974,5.11987740730534,27.5466509750192,50.1351008924016,25.6960365056992,5.0243409137367,11.1064977645874,40.3234825134277,-4.67637933812608,1.64798465949702,-8.36507021262593,-0.0484564707756405,17.3318669450231,6.75416002090579,-3.86087659475758,31.3667440887062,6.8758807909707,69.970719962899
gpt-4o-mini,v2,120,0.880406284332275,0.0173627532854211,0.79304713010788,0.925290465354919,0.108936717180046,0.0647951914975623,1.49441074846015e-33,0.367919734602735,40.5268921332358,4.97411159012146,26.9654438066293,50.0344574880348,27.1756049791972,5.75908602219111,12.7090587615967,48.6347770690918,-5.14940141288643,1.56010231280675,-10.858658568788,-0.922019540854681,18.193059338285,6.73340408913246,2.28685912084853,46.2153019100431,6.40285871621035,70.831912356161
llama3.2,v1,120,0.84655348310868,0.0106666222827877,0.811805009841919,0.870611488819122,0.0329229626873731,0.0205431459462326,0.00135304468067671,0.104372314220053,33.8081075968728,3.25674206751942,26.3029465263233,40.3836647966618,27.4142578760783,8.10973463291159,14.2184724807739,59.7744369506836,-3.89251352653191,2.4115111575631,-8.76101773724446,10.6859052746161,15.4331732159503,10.5514178419537,-39.9771863875886,42.8920483827229,7.65974660256487,68.0720262338262
llama3.2,v2,120,0.856115354100863,0.012263770188295,0.81447297334671,0.880945801734924,0.0331867836594979,0.0229177739029189,0.00359831866995862,0.107211051373613,34.2917820385342,3.36990132336993,26.5381917340595,42.5735850157833,30.6303204218547,8.47682730020174,14.3117389678955,61.7235717773438,-4.14988580759636,1.94114629485712,-8.32238888266906,0.529559212468349,15.229032941659,8.46348999166194,-3.35297804403295,39.2531309853939,7.40237432150042,67.867885959535
sonar,v1,120,0.856237005194028,0.0179174467740486,0.78955352306366,0.909611940383911,0.0708699653643359,0.0660073396901499,0.00100755591913692,0.397277887455745,37.2634259597815,4.59257336650314,26.7894065817089,46.5682189606662,35.534367108345,14.2034666288349,10.7672863006592,73.3877716064453,-7.21055661729339,2.03931676782837,-12.3105844622533,-0.227172868275272,27.1147553396276,9.39354767775347,0.179856229003519,52.8319738322807,4.3417035118034,79.7536083575036
sonar,v2,120,0.864239890376727,0.0242736939700521,0.774480879306793,0.928646564483643,0.0919401568503694,0.0767571133098377,0.000131231587325311,0.451911148992267,38.443049097522,4.99342321820348,25.8229663291129,47.1535293819165,39.8328315734863,16.9177471757492,11.9592370986938,85.5842666625977,-7.41541901793496,2.55046983321135,-12.3015779193709,4.5611335197649,27.3199820122399,10.6730431136421,-16.8677751122371,49.1380482861166,4.13684111116182,79.9588350301158
sonar-pro,v1,120,0.856648286183675,0.0185556113063438,0.805780112743378,0.91095906496048,0.0775044514272629,0.0699987343993598,0.00092178862946997,0.343107802448146,37.5837798459402,5.00299030379104,25.3420955155241,54.2739111687718,34.3613231738408,14.3683424117499,8.86205959320068,71.8272094726562,-7.16124631448368,2.35933091686871,-12.8389717783667,0.456402603835237,26.8844003362109,10.6827373827495,-7.65813752410688,53.507655537695,4.3910138146131,79.5232533540868
sonar-pro,v2,120,0.865290594597658,0.0215505694225055,0.777277231216431,0.922469556331635,0.0987234298749643,0.0764134455084268,0.000354127005157562,0.425127990310561,38.9019129236144,5.23303672271729,22.5118443789111,47.4452808951194,36.4670614480972,15.060327910435,13.4285621643066,81.0021667480469,-7.47725988910592,2.09774355266144,-12.4527863075036,0.724532967032964,27.2647774767681,9.54471299411641,-13.9516163003663,49.7658393687554,4.07500023999086,79.9036304946441
