metric,gpt-4o-mini (v1)_mean,gpt-4o-mini (v1)_std,gpt-4o-mini (v2)_mean,gpt-4o-mini (v2)_std,difference,better_model,test,p_value,significant,effect_size,effect_interpretation,n1,n2,strategy
bertscore,0.8907964766025543,0.015017211082775482,0.8888569369912147,0.014951720217373341,0.0019395396113396357,gpt-4o-mini (v1),t-test,0.5643534825173997,False,0.12943637934862573,negligible,40,40,constraint
bleu,0.15734262914924263,0.06554927939323649,0.14350041303919198,0.07052939068312936,0.013842216110050654,gpt-4o-mini (v1),t-test,0.3660339027946984,False,0.20330821185037365,small,40,40,constraint
sari,43.55038517383601,4.073647584610604,42.86039390973204,4.7162021624302115,0.6899912641039734,gpt-4o-mini (v1),t-test,0.4858579572066636,False,0.15657946906296288,negligible,40,40,constraint
perplexity,27.867192769050593,5.1686860295925,27.72282571792602,4.961079113214367,0.14436705112457204,gpt-4o-mini (v2),t-test,0.8989162606157224,False,0.028497549365141206,negligible,40,40,constraint
fkgl_delta,-5.343614364854487,1.5652866847461449,-5.114804891632945,1.3443542296540671,-0.228809473221542,gpt-4o-mini (v1),t-test,0.4851754770686709,False,-0.15682533553788472,negligible,40,40,constraint
fre_delta,19.0903604750024,6.254408154467862,18.242535888452586,5.323574477373628,0.8478245865498124,gpt-4o-mini (v1),t-test,0.5157671802950425,False,0.1459835967996996,negligible,40,40,constraint
fkgl_output,6.208645764242297,1.2812243949531434,6.437455237463837,1.1592237764700608,-0.22880947322154022,gpt-4o-mini (v1),t-test,0.40484611108155555,False,-0.18728043559482765,negligible,40,40,constraint
fre_output,71.72921349287836,7.516937992868395,70.88138890632852,7.1156226042752,0.8478245865498337,gpt-4o-mini (v1),t-test,0.6058933001759081,False,0.1158383586532269,negligible,40,40,constraint
bertscore,0.8635522708296776,0.011286506393962012,0.8713607892394066,0.011449585196960812,-0.0078085184097290705,gpt-4o-mini (v2),t-test,0.002929586006586168,True,-0.6868654203189124,medium,40,40,structured
bleu,0.048750856116260996,0.026328225059104496,0.06814542651253785,0.03842907410908567,-0.01939457039627686,gpt-4o-mini (v2),Mann-Whitney U,0.01863754633820986,True,-0.5888007844907661,medium,40,40,structured
sari,36.08873648459105,3.703098680921065,38.05324754433603,4.305461231633703,-1.9645110597449786,gpt-4o-mini (v2),t-test,0.031673638805597,True,-0.4892209489138259,small,40,40,structured
perplexity,24.635922694206247,5.11660797620377,26.383246850967407,5.083205371270519,-1.7473241567611595,gpt-4o-mini (v1),t-test,0.12951181134292558,False,-0.34261701224132896,small,40,40,structured
fkgl_delta,-4.107754760415704,1.6431085595681778,-5.089283083696777,1.6144908404118927,0.981528323281073,gpt-4o-mini (v2),t-test,0.008621082865094857,True,0.6025851127830933,medium,40,40,structured
fre_delta,14.961979181937897,6.880868876911609,17.856920275852683,6.939334395787078,-2.8949410939147864,gpt-4o-mini (v2),t-test,0.06473737851942829,False,-0.41893959623105737,small,40,40,structured
fkgl_output,7.44450536868108,0.9999438824007589,6.462977045400005,1.2614469343927277,0.9815283232810748,gpt-4o-mini (v2),t-test,0.00023521712887897191,True,0.8623284578148352,large,40,40,structured
fre_output,67.60083219981385,5.978484633932938,70.49577329372865,7.3426790489901546,-2.8949410939147953,gpt-4o-mini (v2),t-test,0.056784541283698815,False,-0.43237652710603036,small,40,40,structured
bertscore,0.8751378729939461,0.01314993764305493,0.8810011267662048,0.020191134393057406,-0.005863253772258714,gpt-4o-mini (v2),Mann-Whitney U,0.03227345354978888,True,-0.34412334714402676,small,40,40,zeroshot
bleu,0.07882049515219353,0.04382130096065234,0.11516431198840879,0.05820405951024757,-0.036343816836215265,gpt-4o-mini (v2),Mann-Whitney U,0.0022495160571034413,True,-0.7054712182006451,medium,40,40,zeroshot
sari,38.907786914265,4.533853041086453,40.66703494563926,4.778472592198562,-1.7592480313742556,gpt-4o-mini (v2),t-test,0.09518764619217795,False,-0.3777018653194528,small,40,40,zeroshot
perplexity,24.584994053840642,4.108291931002189,27.42074236869812,7.052525542468018,-2.8357483148574794,gpt-4o-mini (v1),t-test,0.03095972707546689,True,-0.49135210484631137,small,40,40,zeroshot
fkgl_delta,-4.577768889108066,1.529277867313461,-5.244116263329568,1.7316378547739213,0.6663473742215018,gpt-4o-mini (v2),t-test,0.07195217736813075,False,0.40790261563576774,small,40,40,zeroshot
fre_delta,17.943261178128886,6.58909098388793,18.479721850549858,7.851354541101347,-0.5364606724209722,gpt-4o-mini (v2),t-test,0.7415197725066582,False,-0.0740175013796283,negligible,40,40,zeroshot
fkgl_output,6.974491239988717,1.2025872596844402,6.308143865767215,1.2336969834796518,0.6663473742215027,gpt-4o-mini (v2),Mann-Whitney U,0.021734997211659477,True,0.546974809539052,medium,40,40,zeroshot
fre_output,70.58211419600484,6.37682102608498,71.11857486842581,7.073987669752713,-0.5364606724209722,gpt-4o-mini (v2),t-test,0.7226169728958896,False,-0.07965937954558522,negligible,40,40,zeroshot
