metric,llama3.2 (v1)_mean,llama3.2 (v1)_std,llama3.2 (v2)_mean,llama3.2 (v2)_std,difference,better_model,test,p_value,significant,effect_size,effect_interpretation,n1,n2,strategy
bertscore,0.8509274706244468,0.009456173902791805,0.8578645855188369,0.009637745646595964,-0.006937114894390084,llama3.2 (v2),t-test,0.001707394808639474,True,-0.7265979350683877,medium,40,40,constraint
bleu,0.03329768912334956,0.024238292209556467,0.03232218669754926,0.024264847293688736,0.0009755024258003009,llama3.2 (v1),Mann-Whitney U,0.866273462912396,False,0.04022429432770338,negligible,40,40,constraint
sari,33.918392154982165,3.2847018575919287,34.097430436958646,3.5176218589240493,-0.17903828197648153,llama3.2 (v2),t-test,0.8146104856925098,False,-0.052609497518267344,negligible,40,40,constraint
perplexity,31.539088010787964,9.612322987929454,30.808310794830323,8.89603450052699,0.7307772159576409,llama3.2 (v2),Mann-Whitney U,0.6476214777694413,False,0.07890819793479345,negligible,40,40,constraint
fkgl_delta,-4.710457203975594,1.8997695157217735,-4.201300305286082,2.0733020386211365,-0.5091568986895121,llama3.2 (v1),t-test,0.25565511375042443,False,-0.256059790219042,small,40,40,constraint
fre_delta,18.71560790749896,8.714709044134729,15.500215836519576,9.098939271988826,3.2153920709793837,llama3.2 (v1),t-test,0.11054860040356303,False,0.36091925807272385,small,40,40,constraint
fkgl_output,6.841802925121189,1.075923337998062,7.3509598238107,1.1365246734646903,-0.5091568986895112,llama3.2 (v1),t-test,0.042969997149732715,True,-0.4600930739163719,small,40,40,constraint
fre_output,71.35446092537491,5.990512151865773,68.13906885439553,6.963986282614628,3.2153920709793766,llama3.2 (v1),t-test,0.02976475114198606,True,0.49501752749379496,small,40,40,constraint
bertscore,0.8426691383123398,0.011754564654603306,0.8566390737891197,0.012832910999729464,-0.013969935476779938,llama3.2 (v2),t-test,2.5451169452381975e-06,True,-1.1352543504739925,large,40,40,structured
bleu,0.034765064271830314,0.01793001289609146,0.03667098340900427,0.02382865703257998,-0.0019059191371739587,llama3.2 (v2),Mann-Whitney U,0.9348126839238233,False,-0.09038527862910706,negligible,40,40,structured
sari,33.84426229178519,3.4279885616923926,34.494460958503986,3.4001271833993982,-0.6501986667187936,llama3.2 (v2),Mann-Whitney U,0.33834562249096867,False,-0.19044587944613237,negligible,40,40,structured
perplexity,26.08674435615539,6.915946955395204,30.079054069519042,7.935768556842287,-3.992309713363653,llama3.2 (v1),Mann-Whitney U,0.0021093336154374503,True,-0.5363596821503939,medium,40,40,structured
fkgl_delta,-3.1633811731235744,3.0784389745331873,-4.042497395117356,2.042956610870773,0.8791162219937814,llama3.2 (v2),Mann-Whitney U,0.20921139934785282,False,0.33650202075004215,small,40,40,structured
fre_delta,11.874611908313906,12.887873530455245,14.321472225435281,9.055346244667183,-2.4468603171213754,llama3.2 (v2),Mann-Whitney U,0.41615979251012847,False,-0.219691769527346,small,40,40,structured
fkgl_output,8.388878955973208,2.3663517045919327,7.509762733979424,1.3065891604159747,0.879116221993784,llama3.2 (v2),Mann-Whitney U,0.04691716914101512,True,0.459936432015877,small,40,40,structured
fre_output,64.51346492618987,10.481919007123828,66.96032524331125,7.145787790993776,-2.446860317121377,llama3.2 (v2),Mann-Whitney U,0.27476530357705664,False,-0.2727732287707955,small,40,40,structured
bertscore,0.8460638403892518,0.00917785132100204,0.8538424029946328,0.013878937164205825,-0.007778562605381012,llama3.2 (v2),Mann-Whitney U,0.0009817407276443062,True,-0.6611285727870222,medium,40,40,zeroshot
bleu,0.030706134666939378,0.019236937304914124,0.030567180871940026,0.020634051046015688,0.00013895379499935176,llama3.2 (v1),Mann-Whitney U,0.8285930752186466,False,0.006965895313199891,negligible,40,40,zeroshot
sari,33.661668343850906,3.1283928182413354,34.28345472013989,3.2612272481734537,-0.6217863762889877,llama3.2 (v2),t-test,0.3868632106682207,False,-0.1945818529150857,negligible,40,40,zeroshot
perplexity,24.616941261291505,5.758943804331967,31.0035964012146,8.75510236421986,-6.386655139923096,llama3.2 (v1),t-test,0.00023679470736437893,True,-0.8618926550523628,large,40,40,zeroshot
fkgl_delta,-3.803702202496571,1.8490350286022057,-4.205859722385648,1.7341783124824792,0.40215751988907744,llama3.2 (v2),t-test,0.31880223769391336,False,0.22435230007827003,small,40,40,zeroshot
fre_delta,15.70929983203796,8.57591206527805,15.865410763022155,7.241532413211025,-0.1561109309841946,llama3.2 (v2),t-test,0.9301312034702091,False,-0.01966921671149783,negligible,40,40,zeroshot
fkgl_output,7.748557926600212,1.0378533538633612,7.346400406711135,1.3985186300002674,0.40215751988907655,llama3.2 (v2),t-test,0.14817942013299298,False,0.3265693488415421,small,40,40,zeroshot
fre_output,68.34815284991392,5.608511122670505,68.5042637808981,7.161397504660946,-0.15611093098418394,llama3.2 (v2),t-test,0.9138435022950857,False,-0.024271012802120948,negligible,40,40,zeroshot
