model,version,description,strategy,item_id,bertscore,bleu,sari,perplexity,fkgl_delta,fre_delta,fkgl_input,fkgl_output,fre_input,fre_output,lens,phase,experiment_group,retrieval
sonar,v3,E5-RAG-full,zeroshot,3a060cd3-bab9-487a-8ead-e5e4e9533fb4,0.881707310676575,0.224823635463339,36.8981185470965,20.3790817260742,-4.50021405598365,13.835241272458,10.0616105056878,5.56139644970414,61.4220802265558,75.2573214990138,65.3076878880132,E5 RAG v3,E5-RAG,e5
gemini-2.0-flash,v3,E5-RAG-full,structured,fc62cc95-04c5-43ed-bbb6-4c0a764ce22c,0.908071458339691,0.141442116584041,45.9513752187272,25.7049446105957,-6.7737093964908,29.3076198042364,12.0914851715449,5.31777577505407,45.8777394843962,75.1853592886326,73.1011687273994,E5 RAG v3,E5-RAG,e5
sonar,v3,E5-RAG-full,zeroshot,a433a649-8440-4b43-a834-f6ace7c927a6,0.895031332969666,0.0873627276533633,46.3188634235071,51.9496994018555,-9.86632565056463,37.9853420373435,13.138658568788,3.27233291822333,46.7496980899569,84.7350401273004,34.3721583200214,E5 RAG v3,E5-RAG,e5
sonar,v3,E5-RAG-full,structured,441e1abc-3b46-42f4-80ad-146bba92e35d,0.895734488964081,0.12961630354039,43.1904373657558,54.7109680175781,-7.77544617765162,26.1245780032925,10.4131310942579,2.63768491660624,62.5585120982304,88.6830901015229,40.8906951882659,E5 RAG v3,E5-RAG,e5
sonar,v3,E5-RAG-full,constraint,441e1abc-3b46-42f4-80ad-146bba92e35d,0.90351414680481,0.186676268645911,46.0031651900476,46.7199630737305,-7.98316758093716,29.0833242620704,10.4131310942579,2.4299635133207,62.5585120982304,91.6418363603009,44.0857629982181,E5 RAG v3,E5-RAG,e5
gpt-4o-mini,v3,E5-RAG-full,zeroshot,12d0e40d-427e-4141-b6d0-35c73bc81a06,0.890381515026093,0.135609608858387,44.2249775728965,24.063663482666,-2.78353782796497,7.81465028953971,8.71158130622585,5.92804347826087,65.2295888408951,73.0442391304348,82.7528810380883,E5 RAG v3,E5-RAG,e5
llama3.2,v3,E5-RAG-full,constraint,3a060cd3-bab9-487a-8ead-e5e4e9533fb4,0.778911530971527,0.00276342623680944,24.1507459445765,8.55213642120361,-1.16896884150647,0.35438898012481,10.0616105056878,8.89264166418133,61.4220802265558,61.7764692066806,41.1732959414674,E5 RAG v3,E5-RAG,e5
gpt-4o-mini,v3,BGE-RAG-full,structured,94be58eb-98f9-4d4d-8583-26b18721cdbc,0.865051090717316,0.0449473814680898,31.2203506872736,24.7631053924561,-4.20551547341775,16.3059752180209,10.801723183882,6.5962077104642,50.3104016505865,66.6163768686074,75.6673619325781,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,zeroshot,bb974d41-cebc-4517-b191-9e5e655082ed,0.871144831180573,0.0876962498657844,39.5082818851459,16.2604007720947,-6.27990121639601,23.1027361711729,13.3709300693165,7.09102885292048,47.4738549618321,70.576591133005,85.2792596657655,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,constraint,4aba896b-a5de-4627-b352-885797a43796,0.892462372779846,0.13279398311333,39.8115027641296,22.462459564209,-3.69162182693967,14.9097204659633,8.21236770400115,4.52074587706147,70.5875118313495,85.4972322973129,76.1451592326548,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,structured,046eac31-87a0-45b5-9646-5ac85264f32d,0.877380967140198,0.106242224069344,42.6858822008105,24.097110748291,-4.4352944015444,18.902944314332,12.611722972973,8.17642857142857,45.8309628378379,64.7339071521699,68.63565405066,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,structured,92263143-88ab-40cc-8db7-14d0d4309857,0.862524509429932,0.0600457136876973,35.4497780188574,38.6629180908203,-6.2792347237531,20.0649432666253,13.446339986911,7.1671052631579,51.8139602421466,71.878903508772,80.396972377771,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,zeroshot,eb4e34fd-df73-4aca-9398-10c22ded5414,0.884220063686371,0.0539019931492828,38.2612050866975,24.9580383300781,-5.70651711764771,19.7633577904043,13.8709082473031,8.16439112965539,40.4797755480803,60.2431333384845,77.0114618787078,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,zeroshot,3a060cd3-bab9-487a-8ead-e5e4e9533fb4,0.875543713569641,0.0704902455846764,31.1803810724755,26.0191841125488,-3.48140502623574,8.13389009307893,10.0616105056878,6.58020547945206,61.4220802265558,69.5559703196347,67.4947830392056,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,zeroshot,8e6d15b7-de29-4c65-8d40-d0660c5680f6,0.882374167442322,0.129142865450434,41.0892856972569,36.6352462768555,-6.0800652685413,18.4549916568243,15.4458189450119,9.36575367647059,36.2812399608227,54.7362316176471,70.3375843940518,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,structured,8006ce35-7f22-4d5e-acf0-3540c32f66f3,0.901834547519684,0.169643373066231,41.5841892751796,30.2011165618896,-2.57614480855932,10.1948503689747,8.48371428571429,5.90756947715497,63.347,73.5418503689747,54.368072613804,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,structured,980974d6-79dc-49f9-bb69-7be26d62db4d,0.903912365436554,0.212359847635304,48.606081107032,23.7347221374512,-6.12180701243201,26.5359192890443,14.8657386363636,8.74393162393163,36.7095935314686,63.2455128205128,57.5862385161565,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,zeroshot,b7c722ee-4110-4635-b1d6-26c24c8d3380,0.813128054141998,0.00349596802512847,30.3144256781484,22.8681697845459,-2.13783065243935,0.358447399621298,13.3505396825397,11.2127090301003,45.5227566137567,45.881204013378,39.9955305341438,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,constraint,12d0e40d-427e-4141-b6d0-35c73bc81a06,0.774281203746796,0.00406012945262907,30.330071380926,9.33117580413818,3.45507152787771,-21.6962030066972,8.71158130622585,12.1666528341036,65.2295888408951,43.5333858341979,21.5683678099544,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,constraint,3a060cd3-bab9-487a-8ead-e5e4e9533fb4,0.787075877189636,0.00575922575638124,24.0156310796163,18.88232421875,3.28431141513332,-24.0831973453241,10.0616105056878,13.3459219208211,61.4220802265558,37.3388828812317,51.5858257264145,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,structured,6384d603-ea8a-4dd9-8f11-9c29ff53e2a7,0.795602560043335,0.00135445085365442,26.5080447765208,29.8422679901123,-3.05378102007732,11.1389430631097,14.0566598079561,11.0028787878788,44.2228751187085,55.3618181818182,39.7249855561225,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,zeroshot,e16d0245-d26e-49a5-aa1e-f48eb0da88cf,0.800818026065826,0.00347523563940265,30.7085197909517,14.2934141159058,-1.20630287000055,3.89481028571782,9.75240354206199,8.54610067206145,54.4448481973435,58.3396584830613,55.0020617780911,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,zeroshot,bb974d41-cebc-4517-b191-9e5e655082ed,0.87404203414917,0.114527278495008,40.3205563590448,29.3961334228516,-9.70297935841601,36.3239289244239,13.3709300693165,3.66795071090047,47.4738549618321,83.797783886256,67.423163108064,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,structured,fcb403f4-fb1f-43b2-9ea3-ea305df150a9,0.797765016555786,0.00254672676380665,30.8043450186366,15.1628408432007,6.60961913638302,-52.6025693766005,10.7974631495228,17.4070822859058,59.6397790296925,7.03720965309202,38.0520923987989,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,zeroshot,12d0e40d-427e-4141-b6d0-35c73bc81a06,0.907301068305969,0.251160893846593,51.391048533961,22.997241973877,-6.19059114920686,24.9075420473168,8.71158130622585,2.52099015701899,65.2295888408951,90.1371308882119,74.8175631202012,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,structured,441e1abc-3b46-42f4-80ad-146bba92e35d,0.887407243251801,0.0861092916959116,39.1683341975771,37.9289627075195,-7.15023066135742,24.3490925193742,10.4131310942579,3.26290043290043,62.5585120982304,86.9076046176046,69.0756549091342,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,zeroshot,dd8d82a5-887c-4afb-a06d-31b0e3648949,0.873511135578156,0.0736565545997968,44.3677535813622,23.2315692901611,-8.18175308968732,33.1975149020713,11.8571499150841,3.67539682539683,49.9705233904586,83.1680382925298,78.7000023380069,BGE RAG v3,BGE-RAG,bge
