phase,version,model,strategy,description,count,sari_mean,sari_std,bertscore_mean,bertscore_std,bleu_mean,bleu_std,lens_mean,lens_std
PE_v1,v1,claude-haiku-4-5,constraint,step 1 - simple prompt engineering,189,39.7795300948722,3.90790363345181,0.871269929661322,0.0124982984073173,0.0881347860292096,0.0411717537252277,53.6680774092567,13.9405207311228
PE_v1,v1,claude-haiku-4-5,structured,step 1 - simple prompt engineering,189,36.2643176695447,3.73484983771481,0.855904379218974,0.011179137128129,0.0490826116587031,0.02967056973988,51.7053552452777,14.4442399234239
PE_v1,v1,claude-haiku-4-5,zeroshot,step 1 - simple prompt engineering,189,35.4473322524467,3.6140617088197,0.855616098358518,0.0107060296235715,0.0406149577144889,0.0258197726690529,55.2314346348366,13.7114286641787
PE_v1,v1,gemini-2.0-flash,constraint,step 1 - simple prompt engineering,189,38.1358376227526,3.61568282963099,0.869407521984565,0.0125096950917786,0.0651737123295609,0.0319157526671393,57.5338640981295,13.4706087714522
PE_v1,v1,gemini-2.0-flash,structured,step 1 - simple prompt engineering,189,34.0137300119734,3.31606002585988,0.845285221382424,0.0124072496667123,0.029070643602299,0.0215992620307355,64.2245974916103,11.2814619287173
PE_v1,v1,gemini-2.0-flash,zeroshot,step 1 - simple prompt engineering,189,33.8201930404911,3.35964630331263,0.850409355113115,0.0107830084117996,0.0250038062073277,0.0200533922004886,67.5750116756156,10.3522991494593
PE_v1,v1,gpt-4o-mini,constraint,step 1 - simple prompt engineering,189,43.5239923466845,3.66093428072407,0.89121748625286,0.0144059624829293,0.150830787894979,0.0567767896182974,69.0658379327981,7.78833754524385
PE_v1,v1,gpt-4o-mini,structured,step 1 - simple prompt engineering,189,37.4681067434868,3.88541423418792,0.868093779478124,0.0131968325490639,0.0652145489932032,0.0359475617292658,72.3349522919793,8.16802791582092
PE_v1,v1,gpt-4o-mini,zeroshot,step 1 - simple prompt engineering,189,39.6645450136157,3.89309941495029,0.879162740455103,0.0135031589264241,0.0921215860601879,0.0418362295388939,74.64548746243,6.44281717605641
PE_v1,v1,llama3.2,constraint,step 1 - simple prompt engineering,189,34.2021644848234,3.31952168794659,0.853160759128591,0.0111186940318554,0.0328070567929388,0.0207582988254406,69.447909340271,10.2912273294577
PE_v1,v1,llama3.2,structured,step 1 - simple prompt engineering,189,34.1293199461396,3.20479603322852,0.845028754895326,0.0113322324806485,0.0376326172793662,0.0230240521683888,64.7187244179605,13.8036044746933
PE_v1,v1,llama3.2,zeroshot,step 1 - simple prompt engineering,189,34.0368986227363,3.1793796750973,0.849663699745501,0.0105230322786785,0.0321627410374018,0.0193658492533879,73.9136697599384,7.87463418114526
PE_v1,v1,sonar,constraint,step 1 - simple prompt engineering,189,39.8865295278185,4.0227171739598,0.856193611861537,0.0194255480599014,0.117745259459526,0.0694942958982901,31.2488231844161,18.079541887357
PE_v1,v1,sonar,structured,step 1 - simple prompt engineering,189,35.4406170671632,3.72117120738217,0.853939896538144,0.0150310715840091,0.036844009973411,0.0289621571979466,52.5467417469038,15.713425630527
PE_v1,v1,sonar,zeroshot,step 1 - simple prompt engineering,189,37.4492597839709,3.84219547554269,0.867070862855861,0.0159234570641379,0.0584924186296134,0.0343212530640027,54.8959289675954,14.1922006193966
PE_v2,v2,claude-haiku-4-5,constraint,step 1 - simple prompt engineering,189,40.7814303557461,3.97581087638817,0.876470464562613,0.0133772210049179,0.1011609122694,0.0465007667593013,59.0957312326215,12.3783880270038
PE_v2,v2,claude-haiku-4-5,structured,step 1 - simple prompt engineering,189,39.1189470098433,3.6087559280307,0.869814871164857,0.0126188779508357,0.0785352554688466,0.0400331654424885,60.1446391907126,12.4485758945432
PE_v2,v2,claude-haiku-4-5,zeroshot,step 1 - simple prompt engineering,189,39.1510586816304,3.73830991605416,0.870761555023294,0.0124778243804915,0.0760316716120447,0.0390726405517453,60.4389715918536,11.650903513922
