rag_setting,phase,experiment_group,retrieval,description,model,strategy,count,sari_mean,sari_std,bertscore_mean,bertscore_std,bleu_mean,bleu_std,perplexity_mean,perplexity_std,lens_mean,lens_std
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,claude-haiku-4-5,constraint,40,43.835772089803,3.6613591817982,0.894420114159584,0.0148445403416706,0.210335133137916,0.081856847733057,29.0307355880737,6.18515205373214,70.2893699357147,7.95588443124159
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,claude-haiku-4-5,structured,40,43.7370101668549,4.03206541064552,0.888626880943775,0.014925538469533,0.177172176175332,0.0813143049930129,26.8180619239807,5.9436099492368,71.7128240240245,6.79230105157198
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,claude-haiku-4-5,zeroshot,40,42.8893911129503,3.98059639472581,0.887555769085884,0.0176493554471364,0.172844432357829,0.0930924173981682,29.4688663482666,8.03169411221549,71.2091549642439,7.35048960379637
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,claude-haiku-4-5,constraint,40,45.0029742365495,4.17638276799635,0.897035078704357,0.014531420235085,0.222033173922482,0.0716239732827433,29.7591007232666,6.31607697561107,68.6499946187429,9.44827592818738
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,claude-haiku-4-5,structured,40,43.6831147419844,3.85077071778361,0.887826760113239,0.0153666758986747,0.173293375820542,0.0686926627519687,26.5582510471344,5.0034773834848,70.1629026565173,8.0257712795029
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,claude-haiku-4-5,zeroshot,40,43.4079740490625,4.60547593425644,0.888358329236507,0.0166423975696886,0.167784110964525,0.0692236001416976,29.1866955757141,7.01019198819441,72.8629543994181,6.66720442734338
OpenAI-RAG-k3,Open AI RAG v2,OpenAI-RAG-v2,openai,step 2 - RAG top k=3,claude-haiku-4-5,constraint,40,44.4176095538797,3.66279897352213,0.886990128457546,0.014673281182571,0.183037772891832,0.0645643956967511,28.1935908794403,5.25487220607101,55.5128783016624,12.678518473504
OpenAI-RAG-k3,Open AI RAG v2,OpenAI-RAG-v2,openai,step 2 - RAG top k=3,claude-haiku-4-5,structured,40,41.2050491593988,4.3558930219945,0.876337359845638,0.0111360187796544,0.113249009248165,0.0561894606366742,25.8330665826797,5.70664878339831,63.6720719797502,11.8684014658733
OpenAI-RAG-k3,Open AI RAG v2,OpenAI-RAG-v2,openai,step 2 - RAG top k=3,claude-haiku-4-5,zeroshot,40,41.3431487071681,4.33640327366722,0.878868670761585,0.0138597231310024,0.116197051001848,0.0541765721139783,28.4414377212524,5.97680153580142,62.2436881156812,11.0123605552579
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,claude-haiku-4-5,constraint,40,44.5564696213657,3.83335023857709,0.894691497087479,0.0151993488452829,0.21057646644222,0.0710016147504973,28.7386330127716,5.93678318708116,70.8131225331568,6.49483696112853
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,claude-haiku-4-5,structured,40,43.7756553112962,2.86885653612059,0.889722818136215,0.0123488699912829,0.170220210583928,0.0533474480811486,26.308403968811,5.05560719181288,71.8879848420634,6.62355816720715
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,claude-haiku-4-5,zeroshot,40,42.8658883024333,4.40075826656523,0.886256736516952,0.0145014543300539,0.165965649956554,0.0674241734033496,29.3216278791428,5.95618719489581,72.7217598053656,6.65377241167804
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,gemini-2.0-flash,constraint,40,41.6336057158082,3.69871745805304,0.88470773845911,0.0116705507914063,0.121542541603646,0.0383210721052588,27.2752998590469,6.29096607645128,64.6092788608656,7.67502343835946
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,gemini-2.0-flash,structured,40,42.4604655227676,4.43813268066509,0.88577673137188,0.0108563177606816,0.132436608282837,0.0528450073180969,23.6302985191345,4.70208091782764,70.5815854380148,8.72238860501442
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,gemini-2.0-flash,zeroshot,40,41.4677276124672,4.19080081247877,0.883267351984978,0.0128821908239109,0.0974310785748929,0.0403969627190918,20.9059213161469,6.50383540078762,67.5404147802297,9.17151651732003
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,gemini-2.0-flash,constraint,40,42.143997631077,4.00181017514979,0.886966410279274,0.0120989147291627,0.125274736193363,0.0456092056592444,26.4626681089401,5.59525614886052,64.4534854112023,10.0423715484349
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,gemini-2.0-flash,structured,40,42.3915482813981,4.5200056323994,0.88722982853651,0.0135012396658029,0.132308262925979,0.0465355820911011,23.9992886543274,4.95345895934125,71.3023303523111,5.64841404252602
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,gemini-2.0-flash,zeroshot,40,40.9619678028241,3.58577103381233,0.882629965245724,0.0115758136325432,0.0962174767687839,0.0373126494926794,23.0688838720322,7.06129160406292,65.7927826854176,11.9149285389379
OpenAI-RAG-k3,Open AI RAG v2,OpenAI-RAG-v2,openai,step 2 - RAG top k=3,gemini-2.0-flash,constraint,40,39.6253551671104,3.71076282827966,0.874827906489372,0.0128004669212579,0.0899250334470744,0.0356054903020141,26.74750893116,5.76223054756733,57.7542840181183,14.5305172608287
OpenAI-RAG-k3,Open AI RAG v2,OpenAI-RAG-v2,openai,step 2 - RAG top k=3,gemini-2.0-flash,structured,40,40.4127136814472,4.16103562307197,0.877809610962868,0.0124891206932129,0.0966372561426963,0.0395122450411388,23.7798018932343,6.79032584592396,67.6673997759368,10.260825919193
OpenAI-RAG-k3,Open AI RAG v2,OpenAI-RAG-v2,openai,step 2 - RAG top k=3,gemini-2.0-flash,zeroshot,40,39.8326447046794,4.02458069418649,0.877556744217873,0.0127799591255387,0.0888375739072393,0.0355863502015129,24.1687416315079,4.72247892468554,65.4456947303238,13.5332593094801
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,gemini-2.0-flash,constraint,40,42.0621711545723,3.733005168019,0.8847462490201,0.0118482792273773,0.123672691999764,0.0355328406703948,26.6319291591644,5.94902013538409,64.7435056203183,10.0871103646295
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,gemini-2.0-flash,structured,40,42.5687629094681,4.26086780305768,0.886642096936703,0.0136295995448615,0.131450000537727,0.0457963225492635,23.4348793029785,4.98567468541054,72.8699020381878,7.37462276567427
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,gemini-2.0-flash,zeroshot,40,40.9273991540579,3.61140724040076,0.881947132945061,0.0122940676787748,0.0944767233454412,0.0326728851866038,21.2341283082962,5.88113242594518,68.5117176085486,8.83049661966347
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,gpt-4o-mini,constraint,40,43.2218996791788,4.32902273480971,0.891997028887272,0.0141561345452945,0.156030315157885,0.0609607648347306,27.3506896972656,4.67517815504312,72.4208684704775,5.43684487601815
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,gpt-4o-mini,structured,40,38.8832658996979,4.96808128485243,0.874294513463974,0.0193376552819639,0.0870032407393688,0.0502283381215533,40.2303067207336,81.3774674019066,72.2672582133681,13.5082629743031
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,gpt-4o-mini,zeroshot,40,40.9412242451829,4.24468814351281,0.884841218590736,0.0145087423413984,0.114083351799771,0.0511848385720274,26.4294461250305,5.59853266897193,73.243799381863,6.85604777849233
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,gpt-4o-mini,constraint,40,42.8474984851908,5.13323284242444,0.889569063484669,0.021270448651976,0.152357143310268,0.0712115726991305,27.9803720474243,5.30514788831138,72.3924079762855,6.51779713425074
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,gpt-4o-mini,structured,40,38.9260135626801,4.03660911543036,0.874828554689884,0.0156166639757141,0.0849552711237516,0.0461510082451834,26.2973499774933,3.95218116131674,74.996956716954,6.52925550556198
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,gpt-4o-mini,zeroshot,40,41.2136500751007,4.78984951128827,0.88213576823473,0.0188618189864179,0.117387433096798,0.0559056186284612,25.8748385906219,6.01039375364536,72.0592724847917,8.4618996535555
